,Unnamed: 0,sys/id,parameters/batch_size,parameters/beta1,parameters/beta2,parameters/connect_to_project,parameters/cutout_count,parameters/cutout_max_size,parameters/cutout_min_size,parameters/device,parameters/dropout,parameters/epochs,parameters/gamma,parameters/jitter_brightness,parameters/jitter_contrast,parameters/jitter_hue,parameters/jitter_saturation,parameters/lr,parameters/lr_scheduler,parameters/max_lr,parameters/model,parameters/nu1,parameters/nu2,parameters/optimizer,parameters/per_alpha,parameters/per_beta,parameters/perspective_distortion,parameters/plot_interval,parameters/project_name,parameters/register_run,parameters/test,parameters/train,parameters/use_per,parameters/val,parameters/wd,train/val_acc,train/val_loss
53,54,CNN-350,256.0,0.9,0.999,True,0.0,14.0,8.0,cuda,,2.0,,0.0952463075518608,0.0859966427087783,0.0730452015995979,0.0,3.025623842068376e-05,,,M7(),0.5471459031105042,0.9582480788230896,QHAdam,,,0.0,16.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,7.386062384637633e-05,0.7982422113418579,0.9056220054626464
54,55,CNN-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,56,CNN-178,,0.9,0.999,,,,,,0.1,50.0,0.9,,,,,0.002,,,,0.7,1.0,,,,,,,,,,,,1e-06,,
56,57,CNN-239,500.0,0.9,0.999,,,,,cuda,0.1,50.0,,,,,,0.0001,OneCycleLR,0.001,"VotingEnsemble(['load_from_zoo(M3()_#CNN-172_36.p)', 'load_from_zoo(M3()_#CNN-229_29.p)', 'load_from_zoo(M7()_61ead6cd_final.p)', 'load_from_zoo(M7()_61ead348_2.p)'], True)",0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
57,58,CNN-18,,0.9,0.999,,,,,,0.1,50.0,0.95,,,,,0.01,,,,1.0,1.0,,,,,,,,,,,,1e-06,,
58,59,CNN-348,128.0,0.9,0.999,True,0.0,20.0,7.0,cuda,,2.0,,0.1176007017493248,0.0,0.0304103679955005,0.0,0.0163213619250348,,,M5(),0.3685100376605987,1.0,QHAdam,,,0.0334377102553844,32.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0014326114125072,0.7151898741722107,0.9164968729019164
59,60,CNN-161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,61,CNN-216,512.0,0.9,0.999,,,,,cuda,0.1,10.0,0.95,,,,,0.001,ExponentialLR,,"load_from_zoo(""M7()_61eacd10_8.p"")",0.7,1.0,QHAdam,,,,,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,0.9216394424438475,0.273838609457016
61,62,CNN-190,64.0,0.9,0.999,,,,,cpu,0.1,5.0,0.9,,,,,0.002,ExponentialLR,,M7S1(),0.7,1.0,QHAdam,,,,,mlxa/CNN,False,None,train_v2.bin,,val_v2.bin,1e-06,0.1410085558891296,2.3070552349090576
62,63,CNN-144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,64,CNN-156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,65,CNN-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,66,CNN-218,8192.0,0.9,0.999,,,,,cuda,0.1,10.0,0.95,,,,,0.001,ExponentialLR,,"load_from_zoo(""M7()_61eacf91_1.p"")",0.7,1.0,QHAdam,,,,1.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,0.9315893054008484,0.2342545986175537
66,67,CNN-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,68,CNN-197,64.0,0.9,0.999,,,,,cuda,0.1,100.0,,,,,,0.0001,OneCycleLR,0.001,M7(),0.7,1.0,QHAdam,,,,,mlxa/CNN,True,None,train_v1.bin,,val_v2.bin,1e-06,0.2703084647655487,2.0697367191314697
68,69,CNN-100,,0.9,0.999,,,,,,0.1,50.0,0.9,,,,,0.002,,,,0.7,1.0,,,,,,,,,,,,1e-06,,
69,70,CNN-318,512.0,0.9,0.999,True,0.0,27.0,11.0,cuda,,2.0,,0.0,0.1833646446466446,0.0,0.0,5.286878959053957e-05,,,Resnet18(10),0.3577122092247009,0.9944385290145874,QHAdam,,,0.053793728351593,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,3.196817373969649e-05,0.5406135320663452,1.3394618034362793
70,71,CNN-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,72,CNN-212,64.0,0.9,0.999,,,,,cpu,0.1,5.0,,,,,,0.002,OneCycleLR,1.0,"load_from_zoo(""M7()_CNN-202_final.p"")",0.7,1.0,QHAdam,,,,,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
72,73,CNN-31,,0.9,0.999,,,,,,0.1,50.0,0.95,,,,,0.01,,,,1.0,1.0,,,,,,,,,,,,1e-06,0.105991244316101,8.072582244873047
73,74,CNN-324,32.0,0.9,0.999,True,0.0,14.0,9.0,cuda,,2.0,,0.0710292980074882,0.0408828668296337,0.0,0.0,0.0003682233512159,,,M7(),0.297496885061264,0.9233927726745604,QHAdam,,,0.2200426161289215,125.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,5.330272599366356e-06,0.8951677083969116,0.4482217133045196
74,75,CNN-240,500.0,0.9,0.999,,,,,cuda,0.1,50.0,,,,,,0.0001,OneCycleLR,0.001,"VotingEnsemble(['load_from_zoo(M3()_#CNN-172_36.p)', 'load_from_zoo(M3()_#CNN-229_29.p)', 'load_from_zoo(M7()_61ead6cd_final.p)', 'load_from_zoo(M7()_61ead348_2.p)'], [1, 1, 1, 1])",0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
75,76,CNN-300,1024.0,0.9,0.999,True,0.0,6.0,2.0,cuda,,2.0,,0.0,0.0706642568111419,0.0686211660504341,0.0,0.0012657858852738,,,M7(),0.1690069735050201,1.0,QHAdam,,,0.1229720935225486,4.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,3.0809906211466445e-05,0.5613241195678711,1.4575594663619995
76,77,CNN-150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,78,CNN-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,79,CNN-104,,0.9,0.999,,,,,,0.1,50.0,0.9,,,,,0.002,,,,0.7,1.0,,,,,,,,,,,,1e-06,,
79,80,CNN-16,,0.9,0.999,,,,,,0.1,50.0,0.95,,,,,0.01,,,,1.0,1.0,,,,,,,,,,,,1e-06,,
80,81,CNN-69,,0.9,0.999,,,,,,0.1,50.0,0.9,,,,,0.002,,,,0.7,1.0,,,,,,,,,,,,1e-06,,
81,82,CNN-101,,0.9,0.999,,,,,,0.1,50.0,0.9,,,,,0.002,,,,0.7,1.0,,,,,,,,,,,,1e-06,,
82,83,CNN-342,1024.0,0.9,0.999,True,0.0,35.0,11.0,cuda,,2.0,,0.0185852814465761,0.0384037755429744,0.0,0.0450761243700981,4.648803959175673e-05,,,M7(),0.3220183849334717,0.8963018655776978,QHAdam,,,0.006869220174849,4.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0025421975913346,0.7482163310050964,1.0153592824935913
83,84,CNN-136,,0.9,0.999,,,,,,0.1,50.0,0.9,,,,,0.002,,,,0.7,1.0,,,,,,,,,,,,1e-06,,
84,85,CNN-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,86,CNN-331,512.0,0.9,0.999,True,1.0,5.0,2.0,cuda,,2.0,,0.0,0.0,0.1517456769943237,0.0,0.0002598864975278,,,M5(),0.1637863218784332,1.0,QHAdam,,,0.0,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,8.780352727486728e-05,0.7125459909439087,1.0154742002487185
86,87,CNN-337,512.0,0.9,0.999,True,1.0,6.0,4.0,cuda,,2.0,,0.0,0.0,0.0435571931302547,0.0628338977694511,0.0151556156401406,,,Resnet18(10),0.5072433948516846,1.0,QHAdam,,,0.0574373267590999,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.001024097735609,,
