,Unnamed: 0,Unnamed: 0.1,sys/id,parameters/batch_size,parameters/beta1,parameters/beta2,parameters/connect_to_project,parameters/cutout_count,parameters/cutout_max_size,parameters/cutout_min_size,parameters/device,parameters/dropout,parameters/epochs,parameters/gamma,parameters/jitter_brightness,parameters/jitter_contrast,parameters/jitter_hue,parameters/jitter_saturation,parameters/lr,parameters/lr_scheduler,parameters/max_lr,parameters/model,parameters/nu1,parameters/nu2,parameters/optimizer,parameters/per_alpha,parameters/per_beta,parameters/perspective_distortion,parameters/plot_interval,parameters/project_name,parameters/register_run,parameters/test,parameters/train,parameters/use_per,parameters/val,parameters/wd,train/val_acc,train/val_loss
284,284,290,CNN-362,32.0,0.9,0.999,True,0.0,15.0,8.0,cuda,,2.0,,0.0722682848572731,0.0576783493161201,0.0900004729628562,0.0,0.0015641588736101,,,M7(),0.4824469685554504,0.9671357870101928,QHAdam,,,0.0219883862882852,125.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,5.238739907372344e-05,0.8934704065322876,0.3790297210216522
288,288,294,CNN-315,32.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,2.0,,0.0,0.0730936676263809,0.1586112678050995,0.0215207524597644,0.1,,,M5(),0.2659387588500976,1.0,QHAdam,,,0.0,125.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.000672433151733,0.0677915289998054,12.592453002929688
289,289,295,CNN-351,256.0,0.9,0.999,True,0.0,1.0,1.0,cuda,,2.0,,0.0,0.0,0.0522708408534526,0.0651276558637619,0.0020722311514913,,,Resnet18(10),0.3289009928703308,0.9971046447753906,QHAdam,,,0.0008101197890937,16.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.000757384355234,0.829296886920929,0.5523197054862976
291,291,297,CNN-306,1024.0,0.9,0.999,True,0.0,11.0,6.0,cuda,,2.0,,0.0,0.0,0.0449745953083038,0.0561977438628673,0.0071882815653807,,,M5(),0.5804262161254883,0.8917773365974426,QHAdam,,,0.0764016881585121,4.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0005006035038741,0.6598712801933289,1.1260836124420166
294,294,300,CNN-381,64.0,0.9,0.999,True,0.0,12.0,8.0,cuda,,2.0,,0.0,0.0,0.0,0.0,4.716576683487444e-05,,,Resnet18(10),0.3985233902931213,1.0,QHAdam,,,0.0,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0004115248784153,0.7827428579330444,0.673312246799469
296,296,302,CNN-336,32.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,2.0,,0.0566761307418346,0.0,0.0838322564959526,0.0644775852560997,0.0002133295502487,,,M7(),0.7289612889289856,1.0,QHAdam,,,0.022282114252448,125.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,6.71646580658549e-05,0.8967651724815369,0.4932840168476105
298,298,304,CNN-352,1024.0,0.9,0.999,True,0.0,19.0,8.0,cuda,,2.0,,0.037188034504652,0.0210255365818738,0.0499492399394512,0.0,0.0045489589307192,,,Resnet18(10),0.3339914679527282,0.8,QHAdam,,,0.176991268992424,4.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,3.060579071102517e-05,0.3918427228927612,2.686396837234497
302,302,308,CNN-338,64.0,0.9,0.999,True,0.0,3.0,2.0,cuda,,2.0,,0.0,0.0,0.0,0.0,0.0007762473041318,,,Resnet18(10),0.4758460819721222,1.0,QHAdam,,,0.0027362839318811,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.4932346381248302e-06,0.8750995397567749,0.4034904241561889
306,306,312,CNN-340,32.0,0.9,0.999,True,2.0,12.0,7.0,cuda,,2.0,,0.0,0.0,0.0,0.0,2.5309640719904163e-05,,,M7(),0.4006052315235138,0.9907997250556946,QHAdam,,,0.0,125.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0001884561786185,0.828174889087677,0.7291699051856995
308,308,314,CNN-302,64.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,2.0,,0.0320953428745269,0.0259627141058444,0.0249650459736585,0.0,0.0004080099976939,,,M7(),0.5080759525299072,0.8703485727310181,QHAdam,,,0.0460521876811981,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,8.965701316176398e-05,0.8947054147720337,0.4710831046104431
