,sys/id,parameters/batch_size,parameters/beta1,parameters/beta2,parameters/connect_to_project,parameters/cutout_count,parameters/cutout_max_size,parameters/cutout_min_size,parameters/device,parameters/dropout,parameters/epochs,parameters/gamma,parameters/jitter_brightness,parameters/jitter_contrast,parameters/jitter_hue,parameters/jitter_saturation,parameters/lr,parameters/lr_scheduler,parameters/max_lr,parameters/model,parameters/nu1,parameters/nu2,parameters/optimizer,parameters/per_alpha,parameters/per_beta,parameters/perspective_distortion,parameters/plot_interval,parameters/project_name,parameters/register_run,parameters/test,parameters/train,parameters/use_per,parameters/val,parameters/wd,train/val_acc,train/val_loss,parameters/tag
377,CNN-404,64.0,0.9,0.999,True,0.0,4.0,1.0,cuda,,5.0,,0.01,0.01,0.01,0.01,3.516048362633771e-05,,,M5(),0.39375513792037964,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0004316714176826832,0.8934116363525391,0.6333962082862854,sweep2
378,CNN-393,64.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,5.0,,0.01,0.01,0.01,0.01,4.0777107147057864e-06,,,M5(),0.6752387285232544,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.7995707053011462e-05,0.7724920511245728,1.0007927417755127,sweep2
382,CNN-421,64.0,0.9,0.999,True,0.0,9.0,4.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.00021853796351473302,,,M5(),0.7479082345962524,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,2.040863583249432e-05,0.9305334687232971,0.33751925826072693,sweep2
394,CNN-440,64.0,0.9,0.999,True,0.0,9.0,4.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.00050648570686377,,,M5(),0.43164631724357605,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1e-07,0.9286425113677979,0.2975115180015564,sweep2
395,CNN-406,64.0,0.9,0.999,True,0.0,6.0,4.0,cuda,,5.0,,0.01,0.01,0.01,0.01,9.441042046236137e-05,,,M5(),0.602703332901001,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.8898455628187963e-06,0.9158041477203369,0.4679845869541168,sweep2
398,CNN-426,64.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.00014105494414263443,,,M5(),0.48644930124282837,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.4894063815351262e-06,0.924960196018219,0.4168519973754883,sweep2
401,CNN-439,64.0,0.9,0.999,True,0.0,5.0,3.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.00012351396147302357,,,M5(),0.7466700077056885,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,4.4728783004856925e-05,0.9260549545288086,0.4421229958534241,sweep2
405,CNN-399,64.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,5.0,,0.01,0.01,0.01,0.01,1.3679906405756275e-05,,,M5(),0.6234641075134277,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.0372340614703385e-05,0.8491241931915283,0.7873179316520691,sweep2
408,CNN-387,64.0,0.9,0.999,True,0.0,2.0,1.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.00019676568672617671,,,M5(),0.7636623382568359,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,8.696335773219934e-06,0.9268511533737183,0.362400084733963,sweep2
417,CNN-407,64.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,5.0,,0.01,0.01,0.01,0.01,1.397761097655304e-05,,,M5(),0.7586368322372437,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.774102119775312e-05,0.8538017868995667,0.7788962125778198,sweep2
418,CNN-424,64.0,0.9,0.999,True,1.0,4.0,2.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.0003009888683446944,,,M5(),0.5510671138763428,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,2.3367963870481383e-05,0.9312301278114319,0.31335383653640747,sweep2
425,CNN-416,64.0,0.9,0.999,True,1.0,4.0,2.0,cuda,,5.0,,0.01,0.01,0.01,0.01,5.742839293093713e-05,,,M5(),0.7822322845458984,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.125607124241583e-07,0.9134156107902527,0.5383160710334778,sweep2
430,CNN-395,64.0,0.9,0.999,True,0.0,15.0,6.0,cuda,,5.0,,0.01,0.01,0.01,0.01,6.8566205353182245e-06,,,M5(),0.9,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.956670667456767e-05,0.805832028388977,0.9254355430603027,sweep2
432,CNN-437,64.0,0.9,0.999,True,0.0,13.0,8.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.0015017836449739822,,,M5(),0.6607741713523865,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,3.74198872173432e-06,0.9236664175987244,0.2654991149902344,sweep2
435,CNN-428,64.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.0055343642767692975,,,M5(),0.3550220727920532,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.194937997193788e-05,0.9123208522796631,0.2964237332344055,sweep2
436,CNN-420,64.0,0.9,0.999,True,1.0,5.0,2.0,cuda,,5.0,,0.01,0.01,0.01,0.01,9.849418417815963e-05,,,M5(),0.5661774277687073,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,9.727171312678524e-06,0.9207802414894104,0.4592258632183075,sweep2
